,CEP Estab
14061,55014320
14095,56909205
14151,54505020
14167,53610296
14214,54771000
14267,53230180
14277,56906000
14278,51030810
14305,55299435
14323,54580765
14395,50630981
14409,54737065
14417,56903415
14425,55440000
14436,53630735
14455,50050330
14462,50741100
14486,56512600
14511,51160290
14527,55018000
14528,55004180
14538,51020190
14541,50010906
14542,51030340
14607,52041065
14634,50030970
14637,50920310
14640,50900660
14735,53130530
14751,52020015
14754,53409080
14755,52050215
14861,51020000
14896,51020100
14930,52011200
14974,54756230
14983,52021180
14986,52090260
14997,50050070
14998,55016745
15016,50870180
15028,50010310
15044,50900110
15045,50850340
15117,54315100
15127,50050095
15132,50740020
15141,50710070
15160,52061110
15188,52070060
15247,53433740
15251,50070200
15281,55027165
15304,56308440
15321,56830000
15344,52060460
15347,54789010
15348,51160180
15378,53401410
15490,55602215
15508,54330000
15514,53444360
15551,50070425
15598,52051020
15612,55014005
15637,55385000
15653,51170560
15655,51200250
15687,51230020
15695,51190900
15706,51220010
15811,55031250
15919,52030174
15950,53637550
15960,55490000
15986,55192245
16002,55295230
16047,54589615
16051,53320170
16056,50710000
16125,51160070
16139,54762845
16154,55345000
16199,54410902
16201,54737200
16203,50761000
16222,53040970
16228,55298380
16261,55295130
16434,53416710
16459,54783010
16469,51200020
16472,53030230
16505,50070050
16557,55604220
16561,50070430
16633,55600000
16730,55745000
16741,56210000
16743,56850000
16766,55612450
16776,56565000
16854,56320540
16855,55293040
16856,55192970
16858,55790000
16860,55195632
16861,55194336
16865,56907320
16866,56904320
16899,55602240
16939,50790320
16958,53030030
16964,50070453
16970,56950000
16983,52070232
16988,50980330
17017,55012630
17051,52031040
17079,53630622
17080,55755000
17126,50020550
17134,50630250
17136,50640525
17141,51130300
17159,52041585
17163,56909680
17168,51190730
17268,50100015
17306,50870005
17337,50770170
17384,56230000
17605,53210460
17610,56903120
17648,54420000
17692,55290000
17709,55818545
17725,51350670
17760,55819970
17785,55819320
17847,52040020
17851,54460210
17858,50950170
17882,50800305
17886,55296284
17937,52060150
17979,50980370
18049,51170130
18052,56980000
18060,55641970
18092,54270165
18105,56912110
18239,54350355
18256,55195501
18288,52120020
18317,50610080
18319,54110100
18328,55192020
18332,53010120
18336,56220000
18349,53520710
18354,56903000
18355,56903442
18358,54789471
18366,56909000
18373,50630060
18409,52210050
18441,53250140
18473,50721275
18490,55195208
18509,50741150
18512,50070490
18534,52051360
18548,51021060
18633,52011050
18665,55612540
18707,55292260
18739,55014410
18763,51021010
18793,51020290
18815,51021040
18875,56304000
18885,53030265
18895,53060625
18906,56150000
18970,55610010
18976,50720140
18980,50741000
18987,52010250
19003,50810000
19016,50760330
19020,50100170
19071,52040180
19182,50720715
19201,50050440
19336,55024158
19402,55192325
19427,55004390
19461,55195281
19469,55194327
19472,56912460
19487,56306290
19503,53060473
19530,50710190
19701,55815005
19752,52030000
19753,51170260
19774,53435550
19792,53320360
19868,54365710
19886,56302470
19902,52011030
19903,53409180
19905,52291800
20002,53433180
20126,55150120
20174,52021060
20217,55004350
20233,55004000
20236,55006350
20237,55602460
20283,53610380
20289,50710310
20294,53401250
20299,50741110
20344,50680760
20350,55012230
20369,55016090
20385,53610970
20407,53420425
20423,55811030
20479,50720575
20484,52070008
20512,50010090
20514,52130000
20518,53250780
20552,54120740
20572,54505340
20617,50750010
20647,52120090
20661,54460060
20662,50100070
20718,52041542
20741,52090121
20768,50710100
20769,50670423
20788,54440055
20870,51110130
20888,51170570
20889,51170445
20959,56912450
20984,55194318
21036,50761290
21047,52121030
21079,52081230
21096,50800010
21097,55037250
21112,56306475
21126,56912000
21158,55602100
21172,53250430
21219,50050100
21278,50020200
21300,55195569
21301,51200070
21336,51020080
21339,52221100
21344,51011030
21349,56930000
21396,55192335
21398,50030905
21529,53433240
21534,53270240
21546,55293310
21589,53010390
21655,55298320
21732,55194035
21739,55008430
21741,55002170
21743,55012010
21744,55002192
21748,55018370
21758,50830400
21766,50741080
21771,55000000
21777,55014908
21780,55012075
21783,55028400
21788,55006000
21801,55012380
21803,50030360
21858,55292660
21891,54735010
21895,51300441
21896,53443130
21933,52061070
21954,54400410
22024,55815040
22081,56328010
22148,55027630
22152,56510090
22153,55150160
22187,50090430
22255,55299439
22256,56903400
22262,56907070
22290,52020025
22330,52050480
22331,55012060
22332,55021380
22338,55036000
22354,54400100
22360,52071125
22365,55036151
22401,53110970
22416,55014170
22424,56509540
22501,55012300
22506,55030251
22507,55006231
22508,55018422
22514,55020150
22543,52041050
22608,55002150
22646,52171060
22651,52041360
22741,50710350
22753,53990000
22778,52050370
22804,54335140
22809,55004190
22888,56200970
22934,53300000
22968,50090700
23063,55004300
23064,51110110
23070,53320065
23120,54420220
23125,53220375
23132,56909430
23168,56430000
23193,52060500
23202,55014225
23208,55194090
23211,55045025
23241,52060290
23249,56332030
23259,51021190
23260,55014090
23264,55192115
23269,55194321
23276,55044020
23305,56903360
23309,56906460
23311,56903440
23312,56903370
23392,51190515
23393,50721380
23399,50070125
23405,55030360
23427,51111100
23431,54400540
23460,51020011
23496,55320000
23503,52021050
23509,56828000
23536,55012070
23582,56906900
23637,52011230
23639,52090620
23748,53060090
23773,53230340
23811,50980427
23901,55194315
23908,55196355
23928,55034655
23940,56903390
23941,56903480
23943,56909070
23955,50731000
23969,55150615
23971,51200040
24003,55004020
24030,55030200
24036,51150220
24050,56506470
24052,50030900
24056,55012600
24064,55310000
24085,53630732
24099,52131000
24197,50010520
24201,50610060
24225,50865110
24273,50790000
24279,50070090
24286,56912370
24293,53630667
24307,54530105
24310,50060070
24331,53530392
24344,54110130
24374,52051000
24377,55036160
24384,52120135
24389,55152130
24400,55004430
24406,55024743
24446,55194265
24476,56330300
24505,54580665
24507,55190398
24520,55192000
24619,56912120
24633,50760760
24683,50070550
24748,53230460
24880,56560000
24886,54756037
24887,54080035
24888,50870540
24918,51200030
24921,54505005
24969,55194270
24970,55194136
24974,55194255
25022,50630100
25077,50020901
25091,54320230
25097,55006030
25117,52071630
25132,55192560
25133,55195091
25191,50020030
25195,50020065
25332,53413235
25338,51350610
25433,50731330
25440,54580252
25460,54400333
25552,55192614
25553,55178000
25571,52041580
25600,56306150
25683,52061420
25684,56795000
25686,53431380
25700,55031210
25710,51021080
25722,55760000
25752,50680620
25788,54580430
25800,50980360
25802,53210010
25838,55819219
25853,50610100
25872,50790300
25878,50750030
25887,54130340
25895,55004150
25910,55150050
25911,55150260
25918,55642000
25959,55006020
25978,55294782
26004,56912440
26022,53030160
26042,53630047
26059,55012740
26084,56320350
26129,50680180
26167,55038285
26185,50721020
26212,56903420
26288,51011480
26312,55811220
26314,54774775
26316,53610010
26317,50070095
26360,50050240
26390,51130120
26400,55014295
26510,55192578
26522,50940230
26591,54400200
26593,56302290
26638,51270402
26662,55295530
26698,52021030
26701,52070190
26704,53437530
26740,56306250
26747,52120180
26751,53130545
26755,55375000
26806,56670000
26830,55398000
26853,56510040
26861,55170970
26862,54325550
26939,52071000
26958,56503250
26981,53520160
27011,52060280
27042,50870570
27072,55660970
27096,52020020
27103,54160270
27105,55032350
27110,53130555
27117,56909010
27154,55020154
27160,56750000
27162,53025030
27169,52080000
27201,55004160
27237,55194303
27279,54110000
27340,52060060
27352,52130325
27357,55022220
27401,51160170
27402,53250161
27412,53030905
27426,51030490
27430,55016210
27447,50060160
27465,55010540
